player_id,player_name,season_id,season_name,team_id,team_name,position,appearances,minutes_played,goals,assists
25513,Oussama Idrissi,21623,2023/2024,10036,Pachuca,27,26,1738,27,9
37261638,Illian Hernandez,21623,2023/2024,10036,Pachuca,27,16,396,6,0
12789591,Carlos Moreno,21623,2023/2024,10036,Pachuca,24,33,3000,4,0
253099,Luís Rodríguez,21623,2023/2024,10036,Pachuca,25,11,639,5,0
37701410,Jorge Berlanga,21623,2023/2024,10036,Pachuca,25,17,1242,1,0
37706994,Owen González,21623,2023/2024,10036,Pachuca,27,8,206,4,0
37635191,Miguel Rodriguez,21623,2023/2024,10036,Pachuca,27,34,2481,42,3
37590005,Alan Bautista,21623,2023/2024,10036,Pachuca,26,19,1029,16,1
21318547,Pedro Pedraza,21623,2023/2024,10036,Pachuca,26,27,1644,29,0
37635190,Ari Contreras,21623,2023/2024,10036,Pachuca,25,2,147,4,0
37530859,Carlos Sánchez,21623,2023/2024,10036,Pachuca,25,11,631,13,0
253633,Javier López,21623,2023/2024,10036,Pachuca,26,16,456,8,2
37554629,Jose Eulogio,21623,2023/2024,10036,Pachuca,24,2,180,4,0
37701412,Elías Montiel,21623,2023/2024,10036,Pachuca,26,22,1516,24,3
185976,Gustavo Cabral,21623,2023/2024,10036,Pachuca,25,28,2459,43,0
34862033,Israel Luna,21623,2023/2024,10036,Pachuca,26,5,255,4,0
37542737,Daniel Alonso Aceves Patiño,21623,2023/2024,10036,Pachuca,25,4,311,9,0
37566219,Andres Micolta,21623,2023/2024,10036,Pachuca,25,9,810,12,1
9617115,Sergio Barreto,21623,2023/2024,10036,Pachuca,25,33,2823,50,2
1651,Salomón Rondón,21623,2023/2024,10036,Pachuca,27,21,1622,27,2
34862151,Bryan González,21623,2023/2024,10036,Pachuca,25,24,1467,21,1
